Kod;Name;global_id;Latin_name;Type;Kod_okato
100;Центральный административный округ;58703558;Czentral`ny'j administrativny'j okrug;2;45286000
101;район Арбат;58703559;rajon Arbat;3;45286552
102;Басманный район;58703560;Basmanny'j rajon;3;45286555
103;район Замоскворечье;58703561;rajon Zamoskvorech`e;3;45286560
104;Красносельский район;58703562;Krasnosel`skij rajon;3;45286565
105;Мещанский район;58703563;Meshhanskij rajon;3;45286570
106;Пресненский район;58703564;Presnenskij rajon;3;45286575
107;Таганский район;58703565;Taganskij rajon;3;45286580
108;Тверской район;58703566;Tverskoj rajon;3;45286585
109;район Хамовники;58703567;rajon Xamovniki;3;45286590
110;район Якиманка;58703568;rajon Yakimanka;3;45286596
200;Северный административный округ;58703569;Severny'j administrativny'j okrug;2;45277000
201;район Аэропорт;58703570;rajon Ae'roport;3;45277553
202;район Беговой;58703571;rajon Begovoj;3;45277556
203;Бескудниковский район;58703572;Beskudnikovskij rajon;3;45277559
205;Войковский район;58703573;Vojkovskij rajon;3;45277565
206;район Восточное Дегунино;58703574;rajon Vostochnoe Degunino;3;45277568
