UM_CODE;UM_NAMEF;global_id;UM_NAMES;UM_TRANS;UM_TYPE;UM_TM;UM_TE;UM_KLADR
24860;улица Семёновский Вал;58482752;ул. Семёновский Вал;ulicza Semyonovskij Val;1;;417;77000000000260900
24870;Семёновский переулок;58482753;Семёновский пер.;Semyonovskij pereulok;2;;417;77000000000261000
24875;Семёновский проезд;58482754;Семёновский пр.;Semyonovskij proezd;3;;417;77000000000382200
24880;Семинарский тупик;58482755;Семинарский туп.;Seminarskij tupik;7;;108;77000000000059800
24890;Сенежская улица;58482756;Сенежская ул.;Senezhskaya ulicza;1;;207;77000000000035000
24900;улица Серафимовича;58482757;ул. Серафимовича;ulicza Serafimovicha;1;;110;77000000000261300
24910;Большой Сергиевский переулок;58482758;Б. Сергиевский пер.;Bol`shoj Sergievskij pereulok;2;;105;77000000000261500
24920;Малый Сергиевский переулок;58482759;М. Сергиевский пер.;Maly'j Sergievskij pereulok;2;;105;77000000000261400
24930;проезд Серебрякова;58482760;пр. Серебрякова;proezd Serebryakova;3;;"0312;0313";77000000000261600
24940;Серебряническая набережная;58482761;Серебряническая наб.;Serebryanicheskaya naberezhnaya;5;;107;77000000000261700
24950;Серебрянический переулок;58482762;Серебрянический пер.;Serebryanicheskij pereulok;2;;107;77000000000261800
24960;Серебряный переулок;58482763;Серебряный пер.;Serebryany'j pereulok;2;;101;77000000000261900
24965;Середниковская улица;58482764;Середниковская ул.;Serednikovskaya ulicza;1;;1005;77000002000456000
24970;улица Серёгина;58482765;ул. Серёгина;ulicza Seryogina;1;;201;77000000000262000
24980;Сержантская улица;58482766;Сержантская ул.;Serzhantskaya ulicza;1;;317;77000000000382300
24990;Лубянский проезд;58482767;Лубянский пр.;Lubyanskij proezd;3;;"0102;0108";77000000000704300
25000;улица Серова;58482768;ул. Серова;ulicza Serova;1;;214;77000000000394200
25010;Серпов переулок;58482769;Серпов пер.;Serpov pereulok;2;;109;77000000000262400
25020;Большая Серпуховская улица;58482770;Б. Серпуховская ул.;Bol`shaya Serpuxovskaya ulicza;1;;"0103;0609";77000000000262500
25030;улица Серпуховский Вал;58482771;ул. Серпуховский Вал;ulicza Serpuxovskij Val;1;;609;77000000000262900
25040;Серпуховский переулок;58482772;Серпуховский пер.;Serpuxovskij pereulok;2;;103;77000000000263000
25060;площадь Серпуховская Застава;58482773;пл. Серпуховская Застава;ploshhad` Serpuxovskaya Zastava;4;;609;77000000000262600
25070;Сеславинская улица;58482774;Сеславинская ул.;Seslavinskaya ulicza;1;;818;77000000000263100
25075;1-я Сестрорецкая улица;58482775;1-я Сестрорецкая ул.;Pervaya Sestroreczkaya ulicza;1;;212;77000000000382400
25076;2-я Сестрорецкая улица;58482776;2-я Сестрорецкая ул.;Vtoraya Sestroreczkaya ulicza;1;;212;77000000000382500
25077;3-я Сестрорецкая улица;58482777;3-я Сестрорецкая ул.;Tret`ya Sestroreczkaya ulicza;1;;212;77000000000382600
25080;1-й Сетуньский проезд;58482778;1-й Сетуньский пр.;Pervy'j Setun`skij proezd;3;;815;77000000000263300
25090;2-й Сетуньский проезд;58482779;2-й Сетуньский пр.;Vtoroj Setun`skij proezd;3;;815;77000000000263400
25100;3-й Сетуньский проезд;58482780;3-й Сетуньский пр.;Tretij Setun`skij proezd;3;;815;77000000000263500
25101;4-й Сетуньский проезд;58482781;4-й Сетуньский пр.;Chetvyorty'j Setun`skij proezd;3;;815;77000000000263600
25120;Сеченовский переулок;58482782;Сеченовский пер.;Sechenovskij pereulok;2;;109;77000000000700500
25130;Сибирский проезд;58482783;Сибирский пр.;Sibirskij proezd;3;;107;77000000000031600
25140;Сибиряковская улица;58482784;Сибиряковская ул.;Sibiryakovskaya ulicza;1;;313;77000000000382700
25145;Сивашская улица;58482785;Сивашская ул.;Sivashskaya ulicza;1;;703;77000000000264000
25150;переулок Сивцев Вражек;58482786;пер. Сивцев Вражек;pereulok Sivczev Vrazhek;2;;"0101;0109";77000000000264100
25160;Сивяков переулок;58482787;Сивяков пер.;Sivyakov pereulok;2;;107;77000000000382800
25170;Сигнальный проезд;58482788;Сигнальный пр.;Signal`ny'j proezd;3;;"0203;0311";77000000000264200
25180;1-й Силикатный проезд;58482789;1-й Силикатный пр.;Pervy'j Silikatny'j proezd;3;;906;77000000000264300
25190;2-й Силикатный проезд;58482790;2-й Силикатный пр.;Vtoroj Silikatny'j proezd;3;;906;77000000000264400
25200;3-й Силикатный проезд;58482791;3-й Силикатный пр.;Tretij Silikatny'j proezd;3;;906;77000000000264500
25225;улица Константина Симонова;58482792;ул. Константина Симонова;ulicza Konstantina Simonova;1;;201;77000000000332400
25230;Симоновская набережная;58482793;Симоновская наб.;Simonovskaya naberezhnaya;5;;609;77000000000264600
